Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,iteration,fold,Accuracy,group
0,1,NA,0.8377358490566038,NA,0,NA,0.16226415094339622,0,0,0.5,1,1,0.8377358490566038,0
0.4126984126984127,0.6584158415841584,0.2736842105263158,0.7823529411764707,0.2736842105263158,0.4126984126984127,0.3291139240506329,0.23773584905660378,0.09811320754716982,0.3584905660377358,0.5355571271412856,1,1,0.6000000000000001,1
0.6043956043956044,0.45977011494252873,0.36912751677852346,0.6896551724137931,0.3691275167785235,0.6043956043956044,0.45833333333333337,0.3433962264150943,0.20754716981132076,0.5622641509433962,0.5320828596690665,1,1,0.5094339622641509,2
0.1509433962264151,0.9433962264150944,0.4000000000000001,0.8163265306122449,0.4,0.1509433962264151,0.21917808219178084,0.2,0.03018867924528302,0.07547169811320754,0.5471698113207547,1,1,0.7849056603773585,3
0,0.996031746031746,0,0.9507575757575758,0,0,NA,0.04905660377358491,0,0.0037735849056603774,0.498015873015873,1,1,0.9471698113207547,4
0,1,NA,0.9924528301886792,NA,0,NA,0.007547169811320755,0,0,0.5,1,1,0.9924528301886792,5
0,1,NA,0.8377358490566038,NA,0,NA,0.16226415094339622,0,0,0.5,1,2,0.8377358490566038,0
0.42105263157894735,0.6634615384615384,0.2553191489361702,0.8070175438596492,0.2553191489361702,0.42105263157894735,0.31788079470198677,0.21509433962264152,0.09056603773584905,0.35471698113207545,0.5422570850202428,1,2,0.6113207547169811,1
0.5918367346938775,0.4431137724550898,0.38410596026490057,0.649122807017544,0.3841059602649007,0.5918367346938775,0.46586345381526106,0.36981132075471695,0.2188679245283019,0.569811320754717,0.5174752535744837,1,2,0.4981132075471698,2
0.1509433962264151,0.9481132075471698,0.4210526315789471,0.8170731707317074,0.42105263157894735,0.1509433962264151,0.22222222222222224,0.2,0.03018867924528302,0.07169811320754717,0.5495283018867925,1,2,0.7886792452830189,3
0,0.9960629921259843,0,0.9583333333333334,0,0,NA,0.04150943396226415,0,0.0037735849056603774,0.49803149606299213,1,2,0.9547169811320755,4
0,1,NA,0.9886792452830189,NA,0,NA,0.011320754716981131,0,0,0.5,1,2,0.9886792452830189,5
0,1,NA,0.8339350180505415,NA,0,NA,0.16606498194945848,0,0,0.5,1,3,0.8339350180505415,0
0.4,0.6820276497695853,0.2580645161290323,0.8043478260869565,0.25806451612903225,0.4,0.3137254901960784,0.21660649819494585,0.08664259927797834,0.33574007220216606,0.5410138248847927,1,3,0.6209386281588448,1
0.594059405940594,0.44886363636363635,0.3821656050955414,0.6583333333333333,0.3821656050955414,0.594059405940594,0.4651162790697675,0.36462093862815886,0.21660649819494585,0.5667870036101083,0.5214615211521152,1,3,0.5018050541516245,2
0.2037037037037037,0.9327354260089686,0.42307692307692313,0.8286852589641435,0.4230769230769231,0.2037037037037037,0.27499999999999997,0.19494584837545126,0.039711191335740074,0.09386281588447654,0.5682195648563362,1,3,0.7906137184115524,3
0,0.9962264150943396,0,0.9565217391304348,0,0,NA,0.04332129963898917,0,0.0036101083032490976,0.4981132075471698,1,3,0.9530685920577617,4
0,1,NA,0.9855595667870036,NA,0,NA,0.01444043321299639,0,0,0.5,1,3,0.9855595667870036,5
0,1,NA,0.8285714285714285,NA,0,NA,0.17142857142857143,0,0,0.5,1,4,0.8285714285714285,0
0.42424242424242425,0.6542056074766355,0.2745098039215686,0.7865168539325842,0.27450980392156865,0.42424242424242425,0.33333333333333337,0.2357142857142857,0.1,0.36428571428571427,0.5392240158595298,1,4,0.6,1
0.5959595959595959,0.46408839779005523,0.3782051282051282,0.6774193548387095,0.3782051282051282,0.5959595959595959,0.4627450980392157,0.3535714285714286,0.21071428571428572,0.5571428571428572,0.5300239968748256,1,4,0.5107142857142857,2
0.16,0.9391304347826087,0.36363636363636376,0.8372093023255813,0.36363636363636365,0.16,0.2222222222222222,0.17857142857142858,0.02857142857142857,0.07857142857142857,0.5495652173913044,1,4,0.8,3
0,1,NA,0.95,NA,0,NA,0.05,0,0,0.5,1,4,0.95,4
0,1,NA,0.9892857142857143,NA,0,NA,0.010714285714285714,0,0,0.5,1,4,0.9892857142857143,5
0,1,NA,0.8339622641509434,NA,0,NA,0.1660377358490566,0,0,0.5,1,5,0.8339622641509434,0
0.41935483870967744,0.6551724137931034,0.2708333333333333,0.7869822485207101,0.2708333333333333,0.41935483870967744,0.3291139240506329,0.2339622641509434,0.09811320754716982,0.3622641509433962,0.5372636262513905,1,5,0.6,1
0.5894736842105263,0.48823529411764705,0.3916083916083915,0.680327868852459,0.3916083916083916,0.5894736842105263,0.47058823529411764,0.3584905660377358,0.21132075471698114,0.539622641509434,0.5388544891640866,1,5,0.5245283018867924,2
0.18,0.9255813953488372,0.36,0.8291666666666667,0.36,0.18,0.23999999999999996,0.18867924528301888,0.033962264150943396,0.09433962264150944,0.5527906976744186,1,5,0.7849056603773585,3
0,0.996078431372549,0,0.9621212121212122,0,0,NA,0.03773584905660377,0,0.0037735849056603774,0.4980392156862745,1,5,0.9584905660377359,4
0,1,NA,0.9849056603773585,NA,0,NA,0.01509433962264151,0,0,0.5,1,5,0.9849056603773585,5
0,1,NA,0.8363636363636364,NA,0,NA,0.16363636363636364,0,0,0.5,2,1,0.8363636363636364,0
0.37142857142857144,0.6536585365853659,0.26804123711340205,0.752808988764045,0.26804123711340205,0.37142857142857144,0.3113772455089821,0.2545454545454545,0.09454545454545454,0.3527272727272727,0.5125435540069687,2,1,0.5818181818181818,1
0.6774193548387096,0.46153846153846156,0.391304347826087,0.7368421052631579,0.391304347826087,0.6774193548387096,0.49606299212598426,0.3381818181818182,0.2290909090909091,0.5854545454545454,0.5694789081885856,2,1,0.5345454545454545,2
0.14814814814814814,0.9638009049773756,0.5000000000000001,0.8223938223938224,0.5,0.14814814814814814,0.22857142857142856,0.19636363636363635,0.02909090909090909,0.05818181818181818,0.5559745265627618,2,1,0.8036363636363637,3
0,0.9962121212121212,0,0.9598540145985401,0,0,NA,0.04,0,0.0036363636363636364,0.4981060606060606,2,1,0.9563636363636363,4
0,1,NA,0.9927272727272727,NA,0,NA,0.007272727272727273,0,0,0.5,2,1,0.9927272727272727,5
0,1,NA,0.8181818181818181,NA,0,NA,0.18181818181818182,0,0,0.5,2,2,0.8181818181818181,0
0.41379310344827586,0.6601941747572816,0.2553191489361702,0.8,0.2553191489361702,0.41379310344827586,0.3157894736842105,0.2196969696969697,0.09090909090909091,0.3560606060606061,0.5369936391027788,2,2,0.6060606060606061,1
