coef,X.Intercept.,SexM,Age,laggedBMI,baa_60,I.baa_60.2.,wui_60_100,pasture_60,Age.SexM,baa_60.laggedBMI,I.baa_60.2..laggedBMI,I.pasture_60.2.
coef_mean,0.4389287098671114,0.5022354527921101,0.5117806142465818,0.1942480565990126,-0.11694228980370756,0.0948359207928271,0.6124814023129315,-0.14627791259649672,0.31522841019250675,0.32045560275488233,-0.11130282401382656,-0.0045156364061314114
2.5CI,-0.18576490965243586,-0.030748796533950667,0.21806221756206556,-0.11758569450613943,-0.5446404080421384,-0.10399097505686757,-0.14186031737976426,-0.48159147706301747,-0.3348303961272331,-0.042445541806429773,-0.2971075514476933,-0.15566893632857817
97.5CI,1.0636223293866587,1.0352197021181708,0.805499010931098,0.5060818077041646,0.3107558284347233,0.29366281664252175,1.3668231220056273,0.18903565187002405,0.9652872165122466,0.6833567473161944,0.07450190342004015,0.14663766351631535
