Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,iteration,fold
0.33584905660377357,0.05982905982905986,0.27922191042631833,0.39619617572195964,0.3433962264150943,0.6244759172860328,NA,1,1
0.33962264150943394,0.054555462681698655,0.28279816363913507,0.4000811754312864,0.36981132075471695,0.8605218067332597,NA,1,2
0.34296028880866425,0.0642586680525652,0.28720242100725707,0.4021199174959864,0.36462093862815886,0.7908576648576964,NA,1,3
0.3392857142857143,0.06030041361294533,0.2840073716946997,0.39800793062322193,0.3535714285714286,0.7116506554659533,NA,1,4
0.3433962264150943,0.06712794367564945,0.28637842655102996,0.40396219638977315,0.3584905660377358,0.7164274003847007,NA,1,5
0.3527272727272727,0.07618849906580862,0.29629634498867957,0.4123711013181859,0.3381818181818182,0.3258051829080893,NA,2,1
0.3446969696969697,0.07595192813498967,0.28750634740852615,0.40541968714103116,0.3446969696969697,0.5231402379306465,NA,2,2
0.3181818181818182,0.02875712796615362,0.2624290533421453,0.378073100337178,0.3560606060606061,0.9123251611258074,NA,2,3
0.3726937269372694,0.08638400824971244,0.31495624027841274,0.43324880147019706,0.3874538745387454,0.7115009051991399,NA,2,4
0.37050359712230213,0.08679656117430631,0.3135872380936259,0.4302129717425952,0.36330935251798563,0.4236804009939487,NA,2,5
0.35447761194029853,0.08049897864069974,0.297236029843708,0.41497789587504885,0.3582089552238806,0.573472726685363,NA,3,1
0.3821428571428571,0.12466795569128461,0.32495973117304827,0.44184895323126494,0.35,0.14360163874531198,NA,3,2
0.37037037037037035,0.1149418638283103,0.31262521400379417,0.4309954571142124,0.35185185185185186,0.28177201123436285,NA,3,3
0.36329588014981273,0.07985160858724073,0.30554022727553276,0.4241237394142515,0.37453183520599254,0.6693692181552329,NA,3,4
0.36329588014981273,0.09426507562756915,0.30554022727553276,0.4241237394142515,0.35580524344569286,0.4216756246630335,NA,3,5
0.3540856031128405,0.07713939603703389,0.29565882599245585,0.4159218187833623,0.35019455252918286,0.4713518069176566,NA,4,1
0.36823104693140796,0.09931252322556672,0.3113087837944225,0.4280058867026698,0.36823104693140796,0.5226499215181521,NA,4,2
0.3576923076923077,0.08437190274351025,0.29942887286294156,0.41924168534283424,0.35,0.42025778568622557,NA,4,3
0.35106382978723405,0.06957540791490127,0.29541070790990803,0.4098844820312708,0.34397163120567376,0.4229794608023686,NA,4,4
0.37318840579710144,0.09868619752340677,0.31595434463711863,0.43317751949184946,0.37681159420289856,0.5719459746863984,NA,4,5
0.3296296296296296,0.042252969074589426,0.27385434857469104,0.3891940015917189,0.3592592592592593,0.8597669275864377,NA,5,1
0.34074074074074073,0.05770248808893597,0.28438296238043775,0.40063933212085023,0.34074074074074073,0.5228779379305593,NA,5,2
0.32196969696969696,0.035985312117503,0.2659990614618182,0.38199211291638624,0.3560606060606061,0.8896016249278539,NA,5,3
0.33454545454545453,0.048496880317640385,0.2790148099990706,0.3936874491480322,0.3527272727272727,0.7551515335459418,NA,5,4
0.3443223443223443,0.05073913634685985,0.28809313866241454,0.40397380900596636,0.38095238095238093,0.9053303665372794,NA,5,5
0.34545454545454546,0.07206058788242349,0.28937286905111853,0.4049084242996339,0.3563636363636364,0.6684747657153087,NA,6,1
0.3380281690140845,0.057211470546687355,0.28319983122892645,0.39627786396972275,0.3626760563380282,0.8224811723214105,NA,6,2
0.3283582089552239,0.06353735950148505,0.27244672026064864,0.3881161267402178,0.3358208955223881,0.6243392289772582,NA,6,3
0.3560606060606061,0.06829977164210098,0.29831451044813423,0.4170793730531973,0.3787878787878788,0.7947395910583295,NA,6,4
0.3486590038314176,0.06807250425321874,0.29094430139883154,0.40985546028465314,0.3563218390804598,0.6245534162164406,NA,6,5
0.36363636363636365,0.08936319104268721,0.3078091598511259,0.42232171585153533,0.35664335664335667,0.4243347549243165,NA,7,1
0.34901960784313724,0.053464815187495816,0.29061699302002386,0.41097858380861896,0.3686274509803922,0.7614649649949811,NA,7,2
0.3442028985507246,0.06129505054680737,0.2882835420804477,0.4035093885684259,0.35144927536231885,0.6215167952642642,NA,7,3
0.37786259541984735,0.10683063537875946,0.3189255803873006,0.4395966983534332,0.3549618320610687,0.23788751633389127,NA,7,4
0.36996336996337,0.11005818471277222,0.3125527288348202,0.4302308133397361,0.358974358974359,0.3742278403467284,NA,7,5
0.31636363636363635,0.0462486394746066,0.261825755275195,0.37491203326227274,0.32727272727272727,0.6713951533430338,NA,8,1
0.3643724696356275,0.08429951120451488,0.30428481303874316,0.42775857018058516,0.3522267206477733,0.367397031825125,NA,8,2
0.354014598540146,0.07541846189041829,0.29742098192030597,0.4138047186944708,0.36496350364963503,0.6680448519644402,NA,8,3
0.3357142857142857,0.06212857914640732,0.28061682853207404,0.39433250583426493,0.35714285714285715,0.7906220553949312,NA,8,4
0.36231884057971014,0.06835443037974684,0.30555169323022957,0.4220779057479178,0.38768115942028986,0.8227502629870249,NA,8,5
0.37358490566037733,0.0991931850759717,0.31516125948634083,0.4348706209707409,0.36981132075471695,0.4724502568918205,NA,9,1
0.3707865168539326,0.09989164024561546,0.3127009534442303,0.43177545596116895,0.35580524344569286,0.32555997074238446,NA,9,2
0.3763837638376384,0.11424206088268278,0.318492520084379,0.4370107153911761,0.3505535055350554,0.2034183910241986,NA,9,3
0.3660377358490566,0.08753663585497326,0.3079424880006859,0.42716642766832413,0.36981132075471695,0.5735727608487078,NA,9,4
0.3626760563380282,0.1042726702446505,0.30669507621622083,0.4215559324006365,0.34507042253521125,0.28569601215589147,NA,9,5
