Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,iteration,fold
0.6781609195402298,0.31440365251110125,0.6177791577100414,0.7344406043656393,0.5938697318007663,0.0030575018384441798,0.06361735444216353,1,1
0.6438848920863309,0.2551556156968876,0.5844961973997879,0.7001692124768735,0.564748201438849,0.004384235136758577,0.004891311452359336,1,2
0.6534296028880866,0.28496907770906155,0.5941716663325901,0.7093643036244045,0.5523465703971119,3.966324966033621e-4,0.010724437603060152,1,3
0.6716417910447762,0.28980968441339444,0.6118838732597822,0.7275532797393514,0.5970149253731343,0.007089016267508528,0.0076986272817075,1,4
0.667910447761194,0.2903724860168986,0.6080348348042806,0.724023683222534,0.5932835820895522,0.007178328762069559,0.034006402864387095,1,5
0.7007299270072993,0.3820682068206822,0.6427147222731046,0.7543423138693741,0.5693430656934306,5.195112309461248e-6,0.22446268200786781,2,1
0.6741573033707865,0.3165327919498632,0.6143630428551806,0.7300336170080532,0.5730337078651685,4.5058352486262873e-4,0.018341665284072647,2,2
0.6666666666666666,0.2878787878787878,0.6083387686975528,0.7214482274424642,0.5957446808510638,0.008471664450251621,0.05003082214836667,2,3
0.6888888888888889,0.34921090387374465,0.6299596608438087,0.7436145739376077,0.5740740740740741,6.907261866452168e-5,0.03816576945882994,2,4
0.6872586872586872,0.3395145294839906,0.626955157560297,0.7432154983642073,0.5868725868725869,5.495175602021926e-4,0.07544035962680005,2,5
0.6842105263157895,0.3369339426672207,0.6246427196840975,0.7396170139912226,0.575187969924812,1.679920212847355e-4,0.02194677100324682,3,1
0.68,0.3270300333704117,0.6213253606463601,0.7347440202803848,0.5709090909090909,1.3442592439188381e-4,0.003999392249375005,3,2
0.6779026217228464,0.3259554981506487,0.6182333342318471,0.7335692177030916,0.5767790262172284,4.416986908276212e-4,0.06677920499969535,3,3
0.7,0.3622047244094487,0.6415002998386231,0.7540470375994253,0.5888888888888889,1.0322917719900139e-4,0.026268291382042272,3,4
0.6897810218978102,0.33989002890992576,0.6313420081610837,0.744059077368859,0.5875912408759124,3.0731730922219216e-4,0.01702186842010649,3,5
0.7,0.36331877729257633,0.6415002998386231,0.7540470375994253,0.5925925925925926,1.6577450723673839e-4,0.07544035962680005,4,1
0.6964980544747081,0.3618362409270342,0.6363020299469204,0.7520952637878324,0.5836575875486382,1.232708113651228e-4,0.08942935902899347,4,2
0.6959706959706959,0.3458529403273766,0.6376538579300978,0.7499739098436069,0.608058608058608,0.0015611037453427997,0.12436687936260832,4,3
0.6739130434782609,0.32715748415407125,0.6151482301548945,0.7288948635748033,0.5471014492753623,1.1896463062835605e-5,0.0010843024087455924,4,4
0.6811594202898551,0.33650221275200803,0.6226370094689281,0.7357402866290297,0.5688405797101449,8.523862629958904e-5,0.04282560923089117,4,5
0.6642857142857143,0.30148619957537165,0.6056674941657351,0.719383171467926,0.5714285714285714,9.267517717106023e-4,0.07953060622738849,5,1
0.696969696969697,0.36104556180795067,0.6376455373536889,0.7518079914598821,0.5871212121212122,1.4664402086710581e-4,0.09353251268909307,5,2
0.6462093862815884,0.26369751546056197,0.5867653496407114,0.7024871637085051,0.5740072202166066,0.008493933863365864,0.12971446778791293,5,3
0.6977611940298507,0.36272898074213245,0.6389402132829023,0.7521463837862131,0.5783582089552238,3.701166607247389e-5,0.014507542249735666,5,4
0.6692015209125475,0.30187643020594945,0.6087687240198774,0.7257697068004105,0.5893536121673004,0.004716736975690822,0.13336654179268154,5,5
0.7030075187969925,0.3679239607772363,0.6441654126190252,0.75726045014477406,0.5977443609022557,2.34867573340591e-4,0.11522804192045041,6,1
0.6433823529411765,0.25105030089701397,0.5832981721817043,0.7003038137872424,0.5772058823529411,0.015305324114626607,0.04228621486997096,6,2
0.6906474820143885,0.35401242907322356,0.6326873977749197,0.7444885171756211,0.5863309352517986,2.1299620458347266e-4,0.33179983649777,6,3
0.6629213483146067,0.2992943372018428,0.6027761894034271,0.7194025923563198,0.5692883895131086,0.0011062359640862348,0.07313979965890884,6,4
0.6728624535315985,0.3217969287187714,0.6132611900349894,0.7286043978375323,0.5687732342007435,3.0428575330347575e-4,0.10981940881523701,6,5
0.6702898550724637,0.3160130718954249,0.6114094149476115,0.7254665310857651,0.5688405797101449,3.5898701050486505e-4,0.09349248368983558,7,1
0.6828358208955224,0.3500342387582745,0.6234549234701461,0.7381179303530152,0.5597014925373134,2.4838527176073172e-5,0.2780756866208851,7,2
0.6642335766423357,0.2952753704221414,0.604941407010167,0.7199279011407576,0.5948905109489051,0.010825667730296239,0.46551216987418664,7,3
0.706959706959707,0.3873429084380611,0.6490893726840291,0.7602725610811402,0.5970695970695971,1.0517357936697829e-4,0.7373156772164183,7,4
0.6781609195402298,0.3267411865864144,0.6177791577100414,0.7344406043656393,0.578544061302682,6.021230803826381e-4,0.10170693003109325,7,5
0.6762589928057554,0.3253154999460685,0.6177943018707437,0.7309173637453332,0.5683453237410072,1.47815119153913e-4,0.026856695507524342,8,1
0.6765799256505576,0.3160417336411724,0.61710102200504,0.7321160437204779,0.5947955390334573,0.0034622579215990447,0.19825639744335727,8,2
0.6788321167883211,0.33615990308903676,0.6200046194714182,0.7337401856682941,0.5583941605839416,3.0553072802522796e-5,0.025181464404459727,8,3
0.6750902527075813,0.3096477625166151,0.61647580067728,0.7299099142243708,0.5956678700361011,0.0038936587965371977,0.11384629800665812,8,4
0.6811023622047244,0.3271633200340114,0.6199487680446397,0.7379690591017485,0.5826771653543307,7.924286217365352e-4,0.04550026389635847,8,5
