coef,Intercept,SexM,Age,pasture_15
param_est,-3.080940911405774,1.0438603862972586,-0.07124105062904405,0.03715533379377406
std_error,0.3393907242946085,0.4635285820158025,0.25366948689252006,0.22885613614723874
z-score,-9.084572738626402,2.2530272592094747,-0.2804579789278013,0.18846232504983154
2.5CI,-3.1172078442692435,0.9942304002300785,-0.0984268559997571,0.007591119462464151
97.5CI,-3.0446739785423045,1.093490372364439,-0.044055245258331,0.06671954812508396
2.5CIavg,-3.7461345077101695,0.13536105974136536,-0.5684241089151385,-0.411394450695809
97.5CIavg,-2.4157473151013784,1.9523597128531518,0.4259420076570505,0.4857051182833571
