coef,X.Intercept.,SexM,totalag_60,mix_15_100,laggedBMI_30
param_est,0.8533241700222397,0.030780882949015743,-0.010657671087893813,0.3029860631390708,0.015159441825028118
std_error,0.14348816559861985,0.111028296632044,0.06209637320387582,0.1481138410152896,0.1047460938104902
2.5CI,0.5720925332412257,-0.18683057971462022,-0.1323643261380485,0.012688269137211786,-0.1901391295647865
97.5CI,1.1345558068032537,0.2483923456126517,0.11104898396226086,0.5932838571409298,0.22045801321484274
P-value,3.673721758517193e-12,1.5497363167608683e-4,0.16816981471414216,7.172654487355344e-7,0.3802859654192047
