Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,iteration,fold
0.7116788321167883,0.039577602271718595,0.6541238290064393,0.7645887912076207,0.718978102189781,0.6348050115087637,5.99646340985427e-13,1,1
0.6992753623188406,0.07643928398645394,0.6414255617863466,0.7527866440732514,0.6956521739130435,0.4773234422293188,8.395392865945603e-14,1,2
0.6946564885496184,0.08295414770738564,0.6350009475365145,0.7498448844647788,0.6870229007633588,0.4239563531399974,6.844060346519137e-14,1,3
0.7056603773584905,0.06875112632906816,0.6468115440990011,0.7598417478813313,0.7056603773584905,0.5305231093081614,9.795838596362344e-13,1,4
0.7090909090909091,0.09248411847207315,0.651535474510842,0.7620755254114596,0.6981818181818182,0.37427854688499945,1.2151980118702959e-14,1,5
0.7047970479704797,0.03721467270627941,0.6466088698356578,0.7584419781568019,0.7121771217712177,0.6344847860309863,3.669583948206255e-13,2,1
0.7014388489208633,0.029443930344073166,0.6438969434285386,0.7546267936764797,0.7122302158273381,0.6811516576166645,4.342258719137418e-13,2,2
0.700374531835206,0.0567037625861154,0.6415417375103949,0.7546953691272305,0.700374531835206,0.5301601603606607,6.844060346519137e-14,2,3
0.6945454545454546,0.041652837703285615,0.6363988970258577,0.7484415966868205,0.7018181818181818,0.6320786619389647,2.665479518955115e-13,2,4
0.6743295019157088,0.04098041758526816,0.6138187497422735,0.7308269001247227,0.6781609195402298,0.5816986252976362,3.1363158340077454e-14,2,5
0.6962962962962963,0.07115287799966452,0.6376492921529706,0.7505737182733783,0.6962962962962963,0.529806700605144,7.071311815297143e-13,3,1
0.7014925373134329,0.0514113795239361,0.642822020413592,0.755642909447852,0.7052238805970149,0.5830491480172384,3.669583948206255e-13,3,2
0.6940298507462687,0.05373751291767144,0.6350626421562102,0.748645579430984,0.6940298507462687,0.5298154445094355,2.5411768647033057e-14,3,3
0.7030075187969925,0.033305731898058875,0.6441654126190252,0.75726045014477406,0.706766917293233,0.5835062827570519,2.0004723903170493e-14,3,4
0.7107142857142857,0.08680947012401377,0.6537775011647692,0.76312795644723,0.7035714285714286,0.4255700318226678,4.170757476955318e-14,3,5
0.6940298507462687,0.05145027624309355,0.6350626421562102,0.748645579430984,0.7014925373134329,0.6336719436984346,3.471361716869912e-12,4,1
0.6974169741697417,0.08468572370046974,0.6389289923902499,0.7515267009189122,0.6937269372693727,0.47712220816663614,7.071311815297143e-13,4,2
0.6901408450704225,0.036694418748073034,0.6328137564172246,0.7434479700841985,0.704225352112676,0.7226728453658942,4.237560695350286e-12,4,3
0.7084870848708487,0.07787397165869801,0.6504550915137198,0.7618932686354095,0.7084870848708487,0.5303195276167645,3.04687363060473e-12,4,4
0.7015503875968992,0.09113368103211612,0.6416838813190487,0.7567174566371567,0.6976744186046512,0.47653894310083034,8.051143914526838e-12,4,5
0.6917293233082706,-0.008507490290364506,0.6324390150627888,0.7466872958380757,0.706766917293233,0.7296790057861338,2.5411768647033057e-14,5,1
0.6967509025270758,0.042232650037046175,0.638912625492501,0.7503217286990282,0.6931407942238267,0.477372960128024,4.4122897564318866e-17,5,2
0.7065217391304348,0.01723228415684916,0.6489683953034543,0.7595775096767018,0.7137681159420289,0.6335503735971514,7.38095742867484e-15,5,3
