Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,iteration,fold
0.7386363636363636,0.08609271523178819,0.6812437195346817,0.7905838945753886,0.75,0.6936641531539871,3.0638350138712576e-8,1,1
0.7338403041825095,0.12814927069520748,0.6760786168214491,0.7862470431015228,0.7338403041825095,0.5321113788757599,1.936567236394742e-8,1,2
0.7338129496402878,0.15194987220710732,0.6777413058058569,0.78482363124751,0.7230215827338129,0.37218312874595544,7.22300124025691e-10,1,3
0.7553956834532374,0.18418781287761057,0.7004970413131184,0.8047596837454428,0.7338129496402878,0.2291661659208585,1.29980840725338e-10,1,4
0.7509293680297398,0.14909588782399327,0.6947889184108685,0.8014484930625777,0.7434944237918215,0.4213358870880195,4.514845973992151e-9,1,5
0.7461538461538462,0.15717092337917524,0.6887016964158197,0.7978991734107861,0.7307692307692307,0.31525427186864435,3.436931477574981e-10,2,1
0.7142857142857143,0.08080808080808065,0.6567337457402425,0.767117415582692,0.7142857142857143,0.5304916580488559,4.95394077890751e-12,2,2
0.7566539923954373,0.13477947979849916,0.7001639889725718,0.8072590699381463,0.7490494296577946,0.4199792186034496,9.068360653390575e-10,2,3
0.7555555555555555,0.1353711790393014,0.6997956414637397,0.8056104979813605,0.7444444444444445,0.36742588370266294,6.852568869796435e-11,2,4
0.7552447552447552,0.1494604469368677,0.7011696685185019,0.8039457121439697,0.7447552447552448,0.37103219876659,2.3778558341569605e-10,2,5
0.7389705882352942,0.18775235531628534,0.6825077363901139,0.790143509038536,0.7169117647058824,0.23093731098826487,6.774592746484774e-10,3,1
0.7611940298507462,0.20504263997033725,0.7055490052018838,0.8109619346279265,0.7388059701492538,0.22358961188186838,4.228433484881696e-9,3,2
0.7586206896551724,0.1751693002257337,0.7020162824144516,0.8092481501315044,0.7471264367816092,0.3648178407457709,2.9652035653169123e-8,3,3
0.7554744525547445,0.19911002530320224,0.7001500653532683,0.805180315487646,0.7299270072992701,0.18884437814109173,2.1141526768399153e-10,3,4
0.7725631768953068,0.2028959027999817,0.7186126452300065,0.8205788765973302,0.7509025270758123,0.22387138147671315,1.4717314479880388e-9,3,5
0.7481481481481481,0.15949459805896377,0.6919620836062327,0.7987970002753402,0.7481481481481481,0.5325316447113266,6.627243641947771e-7,4,1
0.7372262773722628,0.16583509513742092,0.6808935294294197,0.788347119886965,0.7262773722627737,0.370871412128785,7.708784976251235e-9,4,2
0.7463768115942029,0.17435897435897443,0.6907528493979207,0.7966250424028006,0.7463768115942029,0.5320707542109909,3.140785137292436e-6,4,3
0.7378277153558053,0.1723496590204589,0.6807393387688117,0.7895516050303898,0.7340823970037453,0.4766958138285394,9.562357303519717e-7,4,4
0.7433962264150943,0.18923782956897345,0.6863772506838632,0.7948813476388701,0.7283018867924528,0.31735305078181064,4.8410580652789566e-8,4,5
0.7584905660377359,0.12694327190363464,0.7023413739978548,0.8087575229722208,0.7584905660377359,0.5334965390249324,1.855079746912164e-8,5,1
0.75177304964539,0.13670952505903974,0.6970879873803473,0.8010817462207709,0.7340425531914894,0.274354386230913,3.0790377442780724e-13,5,2
0.7174721189591078,0.10787222901029798,0.6596100728690468,0.770470681222416,0.7063197026022305,0.37207290928633924,4.952519726492939e-13,5,3
0.7463768115942029,0.10122813546706363,0.6907528493979207,0.7966250424028006,0.7463768115942029,0.5320707542109909,2.3778558341569605e-10,5,4
0.7384615384615385,0.11209321012454815,0.6805870458043747,0.7908098919276801,0.7384615384615385,0.5325628952221175,2.8135449397763724e-9,5,5
0.7686832740213523,0.16837408368619927,0.7149031440644453,0.8166992076830052,0.7544483985765125,0.31705830609510355,5.584344005945322e-10,6,1
0.7380073800738007,0.16687594717471296,0.6813820568331436,0.7893446098152893,0.7195571955719557,0.2735406320710474,1.468417597994618e-10,6,2
0.7265917602996255,0.09035329257478891,0.6689317901943427,0.7791435775651214,0.7265917602996255,0.5314713438690002,5.590189279950521e-11,6,3
0.7471264367816092,0.14924930857368637,0.6898477054969653,0.7986977896368379,0.7394636015325671,0.42048028967965817,7.238300099314529e-9,6,4
0.7463235294117647,0.11821086261980811,0.6902584352875807,0.7969337519610622,0.7426470588235294,0.4768230619751406,3.8481862048293345e-10,6,5
0.7444444444444445,0.1324392288348701,0.6880527046490748,0.7953827468504999,0.737037037037037,0.42199394590607364,3.8481862048293345e-10,7,1
0.7444444444444445,0.1367806505421189,0.6880527046490748,0.7953827468504999,0.7333333333333333,0.3690134631871511,7.987483701935857e-11,7,2
0.7433962264150943,0.1618604651162789,0.6863772506838632,0.7948813476388701,0.7283018867924528,0.31735305078181064,6.223707714792321e-10,7,3
0.7418181818181818,0.09198716458168611,0.6858377435131989,0.7925041754402739,0.7381818181818182,0.47699678685253605,5.8467879266418986e-12,7,4
0.7536764705882353,0.12853863810252486,0.6980282824749934,0.8037045832054686,0.7463235294117647,0.4215330838474452,2.1141526768399153e-10,7,5
0.72,0.12060301507537716,0.6629308671250135,0.772257559639493,0.72,0.5306682220149705,3.1049710478870062e-9,8,1
0.7481751824817519,0.14429256811804111,0.6924333126300874,0.7984613695465854,0.7408759124087592,0.42226076048444583,1.7518089579765908e-9,8,2
0.7574626865671642,0.14841611263199062,0.7015920690034697,0.807541487689873,0.7574626865671642,0.5332419963877231,1.8939220246817708e-7,8,3
0.7453183520599251,0.11932479627473809,0.6886352131069182,0.7964657971363669,0.7415730337078652,0.47661914518286047,6.223707714792321e-10,8,4
0.7276119402985075,0.10552304316020532,0.6701172300078524,0.7799946939343589,0.7238805970149254,0.4768277681811229,5.590189279950521e-11,8,5
0.7242647058823529,0.10258666197430942,0.667061742084116,0.776506905059063,0.7279411764705882,0.5848187129022087,1.9199008249915183e-9,9,1
0.7518796992481203,0.1324372405613755,0.6954539525938659,0.8025978317834035,0.7518796992481203,0.5330072583828094,3.040003413570404e-8,9,2
0.7266187050359713,0.07786312849162055,0.670191325685044,0.7781425635388917,0.7338129496402878,0.6362763240244469,2.8096628475537923e-10,9,3
0.7348484848484849,0.10776361529548098,0.6772564527515568,0.7870828987626354,0.7348484848484849,0.5321080004914802,1.0898281454831194e-9,9,4
0.7463235294117647,0.1475290697674416,0.6902584352875807,0.7969337519610622,0.7352941176470589,0.3692129513796745,3.8481862048293345e-10,9,5
0.7683823529411765,0.24550898203592833,0.7136277136430282,0.8171856316314795,0.75,0.26666079764014056,5.744711919156863e-6,10,1
0.7545126353790613,0.2249197596905601,0.6994560312600667,0.8040337873912525,0.7256317689530686,0.15617508632441932,2.8135449397763724e-9,10,2
0.7547169811320755,0.21134563435740153,0.6983425043334783,0.8052964329706718,0.7396226415094339,0.31516322505686123,6.999072490322712e-7,10,3
0.7591240875912408,0.22326260630530034,0.7040157161841144,0.8085324093107684,0.7408759124087592,0.2697727870957886,4.493860940242401e-7,10,4
0.7651515151515151,0.2760084925690023,0.7092989781069163,0.8149444271143679,0.7272727272727273,0.09321322845203839,1.919127100323613e-7,10,5
